category,items_sold,total_revenue,total_freight_paid,freight_to_price_ratio_pct
electronics,2767,160246.74,46578.32,68.35
christmas_supplies,153,8800.82,3229.3,67.57
fashion_underwear_beach,131,9541.55,1916.19,56.55
signaling_and_security,199,21509.23,6507.82,54.62
telephony,4545,323667.53,71215.79,50.59
food_drink,278,15179.48,4507.99,49.83
drinks,379,22428.7,5741.25,42.75
costruction_tools_garden,238,25715.89,5311.4,42.54
housewares,6964,632248.66,146149.11,40.27
home_appliances,771,80171.53,14818.9,39.68
fixed_telephony,264,59583,4637.81,38.62
consoles_games,1137,157465.22,19828.02,37.72
costruction_tools_tools,103,15903.95,2030.22,37.42
construction_tools_construction,929,144677.59,20650.41,36.76
books_general_interest,553,46856.88,9195.52,36.04
