seller_id,seller_state,total_orders,total_sales_value,late_carrier_handoff_pct
a7f13822ceb966b076af67121f87b063,SP,73,12017.69,59.52
a49928bcdf77c55c6d6e05e09a9b4ca5,SP,96,8646.9,55.77
54965bbe3e4f07ae045b90b0b8541f52,PR,73,10351.7,54.32
88460e8ebdecbfecb5f9601833981930,PR,246,31320.4,50.33
1ca7077d890b907f89be8c954a02686a,SP,108,12474.64,49.61
8e6d7754bc7e0f22c96d255ebda59eba,SP,84,14107.38,46.51
bbad7e518d7af88a0897397ffdca1979,SP,68,4426.32,46.43
f4aba7c0bca51484c30ab7bdc34bcdd1,SP,108,2951.9,45.22
b1fc4f64df5a0e8b6913ab38803c57a9,RJ,107,7994.74,42.98
23613d49c3ac2bd302259e55c06c050c,SP,69,4193.1,41.77
